"ID"	"우선순위"	"유형"	"확인수준"	"수정위치"	"원문위치"	"문제"	"원문발췌"	"수정안_필요근거"	"보존할내용"	"im-not-ai규칙"
"MD-36"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1396; experiments/model-selection.md:1529"	"동시 로컬 GPU 작업과 외부 API 지연의 인과는 확인되지 않았다. 조건별 표본이 작은 상황에서 Opus의 지연 차이를 모델 자체의 속도로 확정하기도 어렵다."	"모델 자체가 느리다"	"“이번 실행의 Opus advisor p95는 로컬 기준보다 38% 높았다. API·네트워크·동시 작업의 영향을 분리하지 않았다”로 쓴다. Sonnet의 n=1/n=3 변화는 관측으로 남기고 동시 GPU 작업은 교란 가능성으로 표시한다."	"p95·38%·C11/C13 판정·측정 당시 동시 작업"	""
"MD-39"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1406; experiments/model-selection.md:1412; experiments/model-selection.md:1529; experiments/model-selection.md:1781"	"표의 gemma4 대조군에는 advisor 재생성 2가 있지만, 이어지는 gemma4 플레이어 추가 실행은 전 역할 재생성 0이다. 판정 요약의 gemma4 대조군 0 재생성이 어느 실행을 가리키는지 불명확하다. Sonnet의 재생성≤로컬 판정도 전체 합인지 역할별인지 밝혀야 한다."	"Opus·gemma4 대조군 0 재생성·0 폴백"	"요약이 가리키는 실행 ID와 Core/NPC/플레이어 구성을 먼저 확인한다. 표의 대조 실행을 요약한 것이라면 advisor 재생성 2·폴백 0을 반영하고, 추가 실행을 뜻한다면 그 실행임을 명시한다. 두 실행을 합쳐 0 또는 2로 단정하지 않는다. Sonnet 비교도 planner끼리 등 역할별 기준을 적는다."	"상세 표 재생성 2·Sonnet planner 재생성 2/폴백 1·최종 조합 재생성 1/폴백 0"	""
"MD-40"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1440; experiments/model-selection.md:1529; experiments/model-selection.md:46"	"10케이스를 선별한 사람 검토의 일부 개선으로 NPC “비열등 이상”을 결론낸다. 문서 상단의 재생성 0 게이트는 Haiku 2·Sonnet 1로 만족하지 않아 의미 평가와 전체 게이트의 구별이 필요하다."	"Haiku·Sonnet 둘 다 로컬 대비 비열등 이상"	"“선별한 10케이스의 사람 검토에서 방금 들음/기억 구분 개선을 관찰했다”로 범위를 적고 선정법·검토자·항목별 판정을 제공한다. 재생성 0 조건의 미충족과 Sonnet의 남은 실패를 별도로 보고한다. 채택은 사용자 판단이며 모든 게이트 통과와 같지 않다."	"사람 검토 10케이스·모델별 실패 사례·재생성 수·채택 결정"	""
"MD-42"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1465; experiments/model-selection.md:1484; experiments/model-selection.md:1529; experiments/model-selection.md:1781"	"재채점 성공과 단발 API 성공은 앞선 실패가 VRAM 때문이라는 확정이나 어댑터 결함의 배제를 뒷받침하지 못한다. 1·2차는 응답 재생성 여부·채점기·실행 환경 등 여러 요소가 바뀌었다."	"원인이 채점기
자체가 아니라 당시 VRAM 경합으로 판단"	"파싱 실패·멈춤·재채점 결과는 관측으로 쓰고 VRAM/계정/네트워크는 미확정 원인 가설로 분리한다. “어댑터 결함은 배제”를 “단발 호출에서는 재현되지 않았다”로 좁힌다. 원인 확인에는 같은 입력·같은 채점기에서 GPU 경합만 바꾼 비교와 오류 로그가 필요하다."	"0/20 파싱 실패·3.31초 진단·32/24분 정지·원인 추정의 제한"	""
"MD-44"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1458; experiments/model-selection.md:1473; experiments/model-selection.md:1479; experiments/model-selection.md:1529; experiments/model-selection.md:47"	"A.19는 4/5로 게이트 통과라 쓰지만 상단 게이트는 4/5 이상과 누설 0이다. 본문은 누설 측정 범위 밖이라고 명시하므로 전체 게이트 통과로 읽히면 안 된다."	"**세 모델 전부 4/5로 게이트를 통과한다.**"	"“세 모델은 5항목 중 4항목 기준을 통과했다. 누설 0 조건은 이 러너에서 미측정이다”로 분리한다. 별도 누설 실험을 연결할 때는 모델·프롬프트·실행 버전이 같은지 확인한다."	"모든 rate·4/5·Sonnet 메타 발화·누설 미측정"	""
"MD-46"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1519; experiments/model-selection.md:1521"	"문자수×1토큰은 실측이 아닌 가정이며 상한이라는 증거가 없다. Sonnet 정지 시도 2건의 ~$0.13은 포함되어 있지만 이 비용도 추정이고, NPC 대화 점검·재측정 일부 축의 실제 토큰 사용량은 집계하지 않았다. 이 부분 추정으로 총 $10 미만을 확정할 수 없다."	"문자수 × 1.0토큰 가정 — 상한 추정"	"“문자수×1.0토큰을 가정한 부분 비용 추정”으로 표기한다. 실제 상한·총지출 판정에는 프로바이더 usage·청구 내역 또는 모든 입력·출력·재시도·실패 과금 범위를 포함한 검증된 상한식이 필요하다. ~$1.06은 해당 실행 범위의 추정으로 보존한다."	"~$1.06·항목별 비용·~$4 배정·$10 목표·실측 정산이 아니라는 제한"	""
"MD-49"	"높음"	"구조"	"공개 문서 대조"	"정본과 해설"	"experiments/model-selection.md:1007; experiments/model-selection.md:1550; experiments/model-selection.md:1569; experiments/model-selection.md:1571; experiments/model-selection.md:1580; experiments/model-selection.md:1583; experiments/model-selection.md:1596; experiments/model-selection.md:1638; experiments/model-selection.md:1671; experiments/model-selection.md:1739; experiments/model-selection.md:1766; experiments/model-selection.md:1781"	"같은 날 A.20은 호출 0·2슬롯을 정본으로 선언하고 A.21은 3슬롯을 최종 확정한다. 앞의 임베딩 폴백 가정·중간 qwen/Gemini 양자택일·마지막 변경 이력의 결정 대기가 현재 상태처럼 남는다."	"현재 구성은 **Core·NPC 2슬롯뿐**임을 이 부록이 정본으로 정한다."	"역사 문장은 삭제하지 않고 “이후 변경: A.21.8” 안내를 붙인다. 읽기층에 2026-09-18 최종 제출/로컬 구성을 표로 보이고 각 결정 절 링크를 둔다. A.21 중간 2560 결정과 bge 1024 최종 결정을 시점으로 구별하며 변경 이력에 최종 확정 행을 추가한다."	"모든 날짜·당시 판단·A.20 실사·A.21 복원·최종 Gemini 2560/bge 1024"	""
"MD-51"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1592; experiments/model-selection.md:1682; experiments/model-selection.md:1686; experiments/model-selection.md:1772"	"30문장 중 8개를 모델 실행 후 제외하고 2개를 수정한 22문장 집합을 정본으로 채택했다. 기준 수정 필요성은 설명했지만 검수자가 모델 결과를 봤는지가 불명확해 사후 선택의 영향을 평가하기 어렵다."	"**에이전트 작성·Scenario Director 미검수**"	"30→22 변경 이력을 유지하고 검수 시점·검수자가 본 정보·제외/수정 기준·ID별 변경 목록을 공개 가능한 범위로 기록한다. 22문장 결과는 사후 검수 집합임을 표시하며 일반화가 필요하면 별도 미사용 검증 세트를 쓴다."	"원 30문장·제외 8/수정 2·22문장·17쌍·검수 인용"	""
"MD-52"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1615"	"30/30 성공·429 없음에서 429가 키 쿼터가 아니라 전역 풀 문제라고 결론낼 수 없다. 자매 프로젝트 실측도 이 프로젝트 한도의 원인을 대체하지 못한다."	"429는 키 쿼터가 아니라 베이스 모델 전역 풀"	"“이번 30요청에서는 429가 없었다”까지 실측으로 쓴다. 원인 진술을 남기려면 당시 Gemini 오류의 quota metric/scope와 공식 정의·실제 프로젝트 한도 근거가 필요하다. 임베딩 일일 상한 미측정 기록은 유지한다."	"30/30 성공·429 없음·별도 503·미측정 상한"	""
"MD-54"	"높음"	"주장 범위"	"연결된 원시 자료 대조"	"정본"	"experiments/model-selection.md:1607; experiments/model-selection.md:1623; experiments/model-selection.md:1632; experiments/model-selection.md:1781; docs/reviews/full-audit/raw-evidence.json#RAW-03"	"qwen 2560→1536의 top-1은 0.933→0.867로 30문장 중 2건 감소했다. τ 0.918만 보고 잃는 게 없다거나 절단이 무해하다고 하면 손실을 지운다."	"1536 호환 규격을 써도 잃는 게 없다."	"“2560→1536에서 전체 순위 일치 τ는 0.918이었고 top-3 적중률은 유지됐다. 다만 top-1 정답은 28/30에서 26/30으로 2건 줄었다”로 지표별 효과를 분리한다. 변경 이력의 절단 무해도 함께 정정한다."	"차원·τ·top-1/top-3·오답 수·역사적 차원 선택"	""
"MD-55"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:1632; experiments/model-selection.md:1638; experiments/model-selection.md:1671; experiments/model-selection.md:1703; experiments/model-selection.md:1739; experiments/model-selection.md:1781"	"정답이 top-3에 있다는 적중률 1.000을 같은 추천 3개·같은 순서로 해석한다. Jaccard 0.627/0.600과 τ<1은 추천 목록·전체 순위에 차이가 있음을 이미 보여 준다."	"플레이어가 보는 결과는 사실상 같다."	"“두 모델 모두 정답을 상위 3개에 포함했으나 추천 목록과 순서는 같지 않다”로 구분한다. 아무것도 바뀌지 않음·어느 차원이든 같은 순위도 어떤 지표가 같은지 명시한다. 노출 결과의 동일성을 주장하려면 정렬된 추천 3개의 완전 일치율을 별도로 계산한다."	"top-3 적중률 1.000·Jaccard·τ·차원별 top-1·원순위 측정"	""
"MD-60"	"높음"	"주장 범위"	"연결된 원시 자료 대조"	"정본"	"experiments/model-selection.md:1671; experiments/model-selection.md:1739; docs/reviews/full-audit/raw-evidence.json#RAW-04"	"측정한 Gemini 차원은 1024·1536·2560·3072인데 지원 범위 128~3072 전체가 차원 무관하다고 쓴다. 순위 τ만으로 모델 공간 자체가 더 가깝다고 할 수도 없다. RAW-04에서 확인한 8개 파일에도 128차원 조건은 없었다."	"128~3072 전 구간에서 이 과제는 차원 무관"	"“검수한 22문장에서는 Gemini 1024·1536·2560의 top-1 적중률이 0.955로 같았다. 초기 30문장의 1536·2560·3072 비교는 별도로 보고한다”로 표본을 분리한다. 같은 차원도 실행 시점·표본이 다르면 조건을 표시한다. 모델 공간이 가깝다는 주장은 “이 22문장과 행동 목록의 순위 일치 τ는 bge가 qwen보다 높았다”로 쓰고 τ 비율을 유사성의 배수로 해석하지 않는다."	"지원 차원 범위·실제 비교 차원·τ·top-1·bge 채택 결정"	""
"MF-01"	"높음"	"구조"	"공개 문서 대조"	"정본과 해설"	"experiments/model-selection.md:18; experiments/model-selection.md:22; experiments/model-selection.md:35; experiments/model-selection.md:50; experiments/model-selection.md:59; experiments/model-selection.md:65; experiments/model-selection.md:67; experiments/model-selection.md:105; experiments/model-selection.md:137; experiments/model-selection.md:195; experiments/model-selection.md:235; experiments/model-selection.md:447; experiments/model-selection.md:468; experiments/model-selection.md:470; experiments/model-selection.md:480; experiments/model-selection.md:557; experiments/model-selection.md:559; experiments/model-selection.md:568; experiments/model-selection.md:570; experiments/model-selection.md:627; experiments/model-selection.md:642; experiments/model-selection.md:921; experiments/model-selection.md:978"	"앞에 추가된 전환 결정, NPC 적용 결정, 설계 당시 현행, 과거 미착수 상태가 모두 현재형으로 읽힌다. 상단의 예상 조합과 뒤의 확정 결정을 찾는 순서도 제공되지 않는다."	"## 현재 NPC 평가 기준 — 2026-09-15"	"문서 맨 앞에 「최종 구성과 결정 위치」를 두고 최신 채택 절로 연결한다. 기존 절에는 「이 절은 2026-09-15 당시 기록이다. 이후 변경은 A.19 참조」처럼 유효 시점을 표시한다. §0.3 현행 기준선, §4.3 구현 현황, §8 미착수도 당시 설계임을 표시한다. 과거 표를 최신 수치로 덮어쓰지 않는다."	"모든 날짜·기준선·시행착오·구현 이력과 당시에 내린 판단."	""
"MF-03"	"높음"	"주장 범위"	"공개 문서 대조"	"정본과 해설"	"experiments/model-selection.md:1; experiments/model-selection.md:39; experiments/model-selection.md:41; experiments/model-selection.md:495; experiments/model-selection.md:505; experiments/model-selection.md:544; experiments/model-selection.md:546; experiments/model-selection.md:549; experiments/model-selection.md:555; experiments/model-selection.md:559; experiments/model-selection.md:587; experiments/model-selection.md:894; experiments/model-selection.md:966; experiments/model-selection.md:978"	"비열등은 §5.3에서 통계 검정이 아닌 역할별 규칙 비교로 정의되지만, 도입에서는 외부 API 비열등 판정 및 PASS가 일반적 연구 결론처럼 보인다. 채택과 문자적 비열등 충족도 다르다."	"비열등 판정한 기록"	"도입에 「이 문서의 비열등은 정해 둔 게이트를 비교한 기술적 판정이며, 비열등 한계와 신뢰구간을 둔 통계 검정은 아니다」를 명시한다. 로컬 교체와 외부 API에 적용한 기준선·게이트를 따로 표기하고, 기준 충족·예외가 있는 채택·미측정을 별도 열로 둔다. 주장 범위 조정이므로 저자 확인 후 반영한다."	"기존 용어·이진 판정 규칙·n=3의 한계·기준선과 채택 결정."	""
"MF-04"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:26; experiments/model-selection.md:33"	"GPU 한 장의 순차 추론에서 두 번째 호출이 기다린다는 사실만으로 동시 접속 1명 상한이 도출되지는 않는다. 세션 수, 동시 추론 수, 허용 지연을 섞어 외부 API 선택 근거를 강하게 만든다."	"**동시 접속 1명**이 상한"	"저자 확인 후 「두 역할의 추론은 한 GPU에서 순차 처리한다. 요청이 겹치면 대기가 생긴다. 허용 응답시간 안에서 수용할 동시 사용자 수는 부하 시험으로 확인하지 않았다」로 범위를 제한한다. 실제 1명 한도가 설정된 경우에는 세션 제한 설정과 부하 측정의 요청 수·대기시간·실패율을 근거로 추가한다."	"GPU·메모리 측정값, 순차 처리 조건, 외부 API를 선택한 서빙 제약."	""
"MF-06"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:39; experiments/model-selection.md:41; experiments/model-selection.md:50"	"동일 러너·문항을 유지했다고 요약하지만 표 자체에는 러너 정정, 41문답과 20케이스×2 반복, NPC 기준선 Gemma와 Kanana 혼용, judge 교체가 있다. 재생성 0 게이트에 Haiku 2·Sonnet 1이 있고 누설은 별도 미측정인데 종합 판정은 비열등 이상이다."	"러너·판정 기준·통제 문항은 E7·E6·npc-dialogue-2와 동일하게 두고 모델만 바꾼다."	"외부 API 비교표를 실제 실행 기준으로 재작성한다. 각 행에 러너 버전/커밋, 통제 버전, 기준 모델, 케이스 수와 반복 수, 최초 생성·재생성·폴백 단위, 미측정을 적는다. 게이트 변경이 있었다면 변경 시점과 이유를 명시한다. 재생성 0 및 누설 0의 충족 여부를 별도로 판정하고, 확인 전에는 해당 의미의 PASS나 비열등 결론을 보류한다."	"이전 41문답과 새 반복 결과, judge 변경 전후 결과, 모든 실패·재생성·미측정 기록."	""
"MF-07"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:22; experiments/model-selection.md:41; experiments/model-selection.md:784; experiments/model-selection.md:861; experiments/model-selection.md:938"	"상단 Core 지연 기준은 p50 2,918·p95 4,231로 A.6 advisor 스모크 값이다. 공식 A.7 advisor는 2,907·4,215이며 A.8 evaluator는 2,179·2,735다. 역할과 단계가 없는 요약값은 외부 비교에서 혼동된다."	"p50 2,918 · p95 4,231"	"각 기준값 뒤에 역할·실험 단계·날짜·원문 표를 붙인다. 상단은 「advisor, A.6 smoke n=1: p50 2,918/p95 4,231ms」처럼 쓰고, 외부 API와 비교할 공식 기준을 저자가 확정한다. advisor 숫자를 evaluator 열로 옮기지 않는다. 값의 교체가 필요하면 동일 조건인지 원시 결과로 확인하고 정정 이유를 남긴다."	"기존 수치 모두와 스모크/공식·advisor/evaluator 구별."	""
"MF-08"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:41; experiments/model-selection.md:57; experiments/model-selection.md:559"	"로컬 구성을 정답이라고 부르고 게이트를 깨는 외부 후보는 쓰지 않는다고 단정하지만 같은 상단 표에 Sonnet 지연 게이트 실패와 planner 폴백이 있다. 로컬 채택도 문자적 비열등 결과와 다르다고 별도로 적는다."	"**로컬 채택 구성이 정답이고, 외부 API는 그 정답을 심사 기간 동안 여러 사람에게 동시에 보여 주기 위한 서빙 수단이다.**"	"「로컬 채택 구성은 외부 API를 비교하는 기준선이다. 최종 채택은 역할별 게이트 결과와 심사용 서빙 제약을 함께 검토한 결정이다」로 고치되, 이는 주장 조정으로 저자 확인한다. 게이트 실패를 허용한 결정이 있다면 허용 항목·이유·후속 수정 검증을 채택 표 바로 옆에 기록한다."	"서빙 목적, 로컬 롤백 가능성, 게이트 실패 수치와 채택 이력."	""
"MF-11"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:177; experiments/model-selection.md:215; experiments/model-selection.md:220; experiments/model-selection.md:709; experiments/model-selection.md:711; experiments/model-selection.md:752"	"9.0~12.8GiB 후보 공백과 예산 초과 제외는 디스크 용량에 기대지만, 같은 문서에서 e4b는 디스크8.95와 상주3.06이 크게 다르며 이후 실측 VRAM만 사용한다고 정한다. 따라서 디스크 상한만으로 공존 불가 및 E6 선후 손해 없음을 확정할 수 없다."	"예산을 1 GiB 늘려도 새로 들어오는 후보가 없으므로"	"인벤토리의 GiB 열을 「디스크 용량」으로 명시하고 제외 사유를 「디스크 크기에 따른 사전 선별·상주량 미측정」과 「실측 VRAM 초과」로 구분한다. 「조사한 후보·양자화·실행 조건에서는 추가 후보를 확인하지 못했다」처럼 실제 조사 범위로 한정하거나 제외 후보의 size_vram·오프로딩·문맥 설정을 확인한다."	"모델 목록·디스크값·실측값·당시 선별 결정과 후속 예산 원칙."	""
"MF-15"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:211; experiments/model-selection.md:257; experiments/model-selection.md:259; experiments/model-selection.md:266; experiments/model-selection.md:287; experiments/model-selection.md:293; experiments/model-selection.md:318; experiments/model-selection.md:337; experiments/model-selection.md:347; experiments/model-selection.md:433; experiments/model-selection.md:435; experiments/model-selection.md:495; experiments/model-selection.md:780; experiments/model-selection.md:858; experiments/model-selection.md:898; experiments/model-selection.md:931"	"설계는advisor12+통제4 및3역할각 3으로25콜이지만 실측은advisor22+3+3+3=31건이다. 4셀×4역할×n=3만으로372콜을 계산할 수 없다. 전체 모델 호출·문항 요청·재생성 시도·meta 비LLM 응답의 분모도 구별되지 않는다."	"4셀 × 4역할 × n=3 = **372콜**."	"실측 A.7 집계를 「4셀×(advisor22+planner3+manager3+evaluator3)문항×3반복=372개 문항 실행」으로 표시하되 실제 러너 단위 확인 후 확정한다. 설계25콜은 당시 계획으로 남긴다. 각 지표에 최초 문항 요청 수, 실제 provider 시도 수, 재생성 수, meta 비LLM 수, 폴백 결과 포함 여부를 정의한다. A.8의4×14×3=168은 별도 evaluator 실행으로 유지한다."	"25·22·31·176·372·168 및 n 값, 초기 설계와 최종 실행의 차이."	""
